city,date,AQI,quality_level,PM25,PM10,SO2,CO,NO2,weather,wind_direction,is_rain,week
东莞,2018/1/1,112,轻度污染,84,99,15,1.2,45,多云,无持续风向,0,1
东莞,2018/1/2,113,轻度污染,85,106,13,1.2,63,多云,无持续风向,0,2
东莞,2018/1/3,99,良,74,105,15,1.1,77,多云~小雨,无持续风向,1,3
东莞,2018/1/4,64,良,41,61,12,0.7,51,阴~小雨,无持续风向,1,4
东莞,2018/1/5,53,良,36,48,13,0.9,42,阴~小雨,无持续风向,1,5
东莞,2018/1/6,44,优,27,25,10,1,35,小雨~中雨,无持续风向,1,6
东莞,2018/1/7,48,优,22,22,6,0.9,38,中到大雨,东风,1,7
东莞,2018/1/8,37,优,21,17,7,1.1,29,中雨~小雨,北风,1,1
东莞,2018/1/9,55,良,39,44,9,1,29,小雨~多云,无持续风向,1,2
东莞,2018/1/10,49,优,27,36,11,0.7,39,多云,无持续风向,0,3
东莞,2018/1/11,47,优,23,34,14,0.5,37,多云,无持续风向,0,4
东莞,2018/1/12,47,优,21,34,12,0.5,37,晴,无持续风向,0,5
东莞,2018/1/13,65,良,37,54,15,0.6,52,多云,无持续风向,0,6
东莞,2018/1/14,75,良,52,74,17,0.8,60,多云,无持续风向,0,7
东莞,2018/1/15,102,轻度污染,72,97,20,1.1,84,多云,无持续风向,0,1
东莞,2018/1/16,106,轻度污染,71,89,18,1.1,92,多云,无持续风向,0,2
东莞,2018/1/17,130,轻度污染,99,117,21,1.3,108,多云,无持续风向,0,3
东莞,2018/1/18,133,轻度污染,101,120,20,1.3,103,多云~阴,无持续风向,0,4
东莞,2018/1/19,150,轻度污染,115,128,20,1.3,104,阴,无持续风向,0,5
东莞,2018/1/20,155,中度污染,118,112,22,1.2,78,多云~阴,无持续风向,0,6
东莞,2018/1/21,138,轻度污染,105,94,13,1.1,73,多云,无持续风向,0,7
东莞,2018/1/22,170,中度污染,129,118,17,1.4,66,多云,无持续风向,0,1
东莞,2018/1/23,103,轻度污染,77,87,15,1.5,55,多云,无持续风向,0,2
东莞,2018/1/24,89,良,66,76,11,1.1,45,多云,无持续风向,0,3
东莞,2018/1/25,63,良,45,56,9,0.9,45,多云~阴,无持续风向,0,4
东莞,2018/1/26,63,良,39,50,15,1,50,阴~多云,无持续风向,0,5
东莞,2018/1/27,54,良,37,49,14,0.9,43,阴~小雨,无持续风向,1,6
东莞,2018/1/28,49,优,34,42,11,0.9,34,小雨,无持续风向,1,7
东莞,2018/1/29,30,优,16,17,5,0.8,24,小雨,无持续风向,1,1
东莞,2018/1/30,39,优,27,27,6,0.8,30,小雨,无持续风向,1,2
东莞,2018/1/31,32,优,18,19,6,0.9,25,小雨,无持续风向,1,3
东莞,2018/2/1,63,良,45,55,11,0.8,33,晴,无持续风向,0,4
东莞,2018/2/2,60,良,43,48,9,0.8,26,多云,无持续风向,0,5
东莞,2018/2/3,54,良,38,52,11,0.7,27,多云,无持续风向,0,6
东莞,2018/2/4,59,良,42,56,10,0.7,23,多云,北风,0,7
东莞,2018/2/5,49,优,34,46,9,0.7,31,多云,无持续风向,0,1
东莞,2018/2/6,54,良,37,48,11,0.8,43,多云,无持续风向,0,2
东莞,2018/2/7,68,良,46,64,14,0.8,54,多云,无持续风向,0,3
东莞,2018/2/8,67,良,47,55,10,0.8,45,多云,无持续风向,0,4
东莞,2018/2/9,69,良,50,58,8,0.9,47,多云,无持续风向,0,5
东莞,2018/2/10,84,良,62,60,6,0.9,29,阴,无持续风向,0,6
东莞,2018/2/11,70,良,51,58,7,0.9,22,多云,无持续风向,0,7
东莞,2018/2/12,62,良,44,60,7,0.9,23,多云,无持续风向,0,1
东莞,2018/2/13,73,良,39,70,10,0.9,29,多云,无持续风向,0,2
东莞,2018/2/14,55,良,37,59,7,0.9,28,多云,无持续风向,0,3
东莞,2018/2/15,59,良,42,58,7,0.8,28,多云,无持续风向,0,4
东莞,2018/2/16,127,轻度污染,96,108,12,0.9,33,多云,无持续风向,0,5
东莞,2018/2/17,84,良,62,61,7,0.8,18,多云~阴,无持续风向,0,6
东莞,2018/2/18,59,良,42,48,8,0.9,19,多云,无持续风向,0,7
东莞,2018/2/19,64,良,46,39,9,0.8,28,多云~阴,无持续风向,0,1
东莞,2018/2/20,63,良,45,35,11,0.9,32,阴,无持续风向,0,2
东莞,2018/2/21,40,优,28,25,6,0.9,16,小雨,无持续风向,1,3
东莞,2018/2/22,25,优,11,10,5,1,15,小雨,无持续风向,1,4
东莞,2018/2/23,25,优,17,16,7,0.9,18,阴,无持续风向,0,5
东莞,2018/2/24,48,优,33,31,8,0.9,30,阴~阵雨,无持续风向,1,6
东莞,2018/2/25,42,优,29,26,6,0.9,24,小雨~阴,无持续风向,1,7
东莞,2018/2/26,48,优,25,29,8,0.7,27,多云,无持续风向,0,1
东莞,2018/2/27,67,良,28,34,8,0.7,34,多云,无持续风向,0,2
东莞,2018/2/28,64,良,45,47,12,0.8,51,小雨~多云,无持续风向,1,3
东莞,2018/3/1,88,良,65,54,12,0.9,51,多云~阴,南风,0,4
东莞,2018/3/2,58,良,41,39,10,0.7,34,多云,无持续风向,0,5
东莞,2018/3/3,49,优,33,39,9,0.7,39,多云,无持续风向,0,6
东莞,2018/3/4,35,优,24,27,6,0.6,26,小雨~雷阵雨,南风,1,7
东莞,2018/3/5,33,优,21,25,6,0.6,26,小雨~阴,无持续风向,1,1
东莞,2018/3/6,43,优,30,40,9,0.8,32,阴,无持续风向,0,2
东莞,2018/3/7,81,良,29,46,10,0.8,37,阵雨~中雨,无持续风向,1,3
东莞,2018/3/8,28,优,9,9,5,0.8,22,雷阵雨~多云,北风,1,4
东莞,2018/3/9,50,优,19,35,8,0.7,34,晴,无持续风向,0,5
东莞,2018/3/10,97,良,44,61,14,0.8,57,晴,无持续风向,0,6
东莞,2018/3/11,123,轻度污染,47,63,12,0.8,50,多云,无持续风向,0,7
东莞,2018/3/12,82,良,41,60,13,0.9,65,多云,无持续风向,0,1
东莞,2018/3/13,70,良,35,51,11,0.9,56,多云~阵雨,无持续风向,1,2
东莞,2018/3/14,64,良,34,47,9,0.9,51,雷阵雨,无持续风向,1,3
东莞,2018/3/15,87,良,52,57,10,1,69,雷阵雨,无持续风向,1,4
东莞,2018/3/16,110,轻度污染,82,77,14,1.1,63,多云,无持续风向,0,5
东莞,2018/3/17,52,良,36,39,7,0.8,30,阴,无持续风向,0,6
东莞,2018/3/18,49,优,31,42,9,0.8,37,多云,南风,0,7
东莞,2018/3/19,55,良,34,42,7,0.8,44,小到中雨~中到大雨,无持续风向,1,1
东莞,2018/3/20,32,优,12,15,7,1,22,多云,北风,0,2
东莞,2018/3/21,50,优,15,25,9,0.9,28,多云,无持续风向,0,3
东莞,2018/3/22,76,良,33,55,14,0.8,46,晴~多云,无持续风向,0,4
东莞,2018/3/23,125,轻度污染,54,91,15,0.9,69,多云,无持续风向,0,5
东莞,2018/3/24,71,良,44,74,10,0.8,43,多云,无持续风向,0,6
东莞,2018/3/25,64,良,40,73,13,0.8,50,多云~阵雨,无持续风向,1,7
东莞,2018/3/26,88,良,56,78,15,1,54,阴~多云,无持续风向,0,1
东莞,2018/3/27,104,轻度污染,46,55,15,1,45,多云,无持续风向,0,2
东莞,2018/3/28,148,轻度污染,75,75,11,0.9,42,多云,无持续风向,0,3
东莞,2018/3/29,86,良,48,57,10,0.8,44,多云,无持续风向,0,4
东莞,2018/3/30,116,轻度污染,54,67,14,0.9,48,多云,无持续风向,0,5
