district,address,area,orientation,room,living,bathroom,floor,rent,
珠海,香洲区,397,南,9,4,8,4,100000,
珠海,香洲区,556,东南,5,2,0,36,55600,
珠海,香洲区,316,东南,4,2,4,42,40000,
珠海,香洲区,255,南北,4,2,3,17,30000,
珠海,香洲区,379.24,东南,6,2,3,24,29000,
珠海,香洲区,395,西,5,3,4,3,26000,
珠海,香洲区,299.43,东南,5,2,4,23,22000,
珠海,香洲区,211,东南,4,2,3,44,20000,
珠海,香洲区,260,东,1,0,0,33,20000,
珠海,香洲区,252,东,5,1,4,41,20000,
珠海,香洲区,197.55,南,1,0,0,19,18500,
珠海,香洲区,263.83,南,5,4,5,4,18000,
珠海,香洲区,331.67,西北,6,2,3,31,18000,
珠海,香洲区,222,东南,4,2,3,2,17800,
珠海,香洲区,134,东南,3,1,2,29,16000,
珠海,香洲区,122.41,东南,3,2,2,11,16000,
珠海,香洲区,101,东北,2,2,1,29,16000,
珠海,香洲区,160.73,东南,1,0,0,25,15269,
珠海,香洲区,199,东南,4,2,4,2,15000,
珠海,香洲区,198,东南,3,2,2,31,15000,
珠海,香洲区,330,南,5,2,4,11,15000,
珠海,香洲区,310,南北,6,2,4,31,15000,
珠海,香洲区,178,南,3,2,3,32,13500,
珠海,香洲区,367.6,东南,4,2,4,31,13000,
珠海,香洲区,180,东北,4,2,3,32,12500,
珠海,香洲区,170,南北,5,2,2,28,12500,
珠海,香洲区,303,南北,6,3,3,6,12000,
珠海,香洲区,310,南北,5,2,3,6,12000,
珠海,香洲区,223.37,南,5,2,2,25,12000,
珠海,香洲区,228,南北,5,2,3,31,12000,
珠海,斗门区,290.98,东南,5,2,4,3,12000,
珠海,香洲区,183,南,4,2,3,28,12000,
珠海,香洲区,156,南北,1,1,0,30,12000,
珠海,香洲区,307,东南,9,2,3,28,12000,
珠海,香洲区,99,南,3,2,2,31,11500,
珠海,香洲区,113,东南,2,2,1,25,11300,
珠海,香洲区,300,南,7,4,4,31,11000,
珠海,香洲区,156.9,东南,3,2,2,31,11000,
珠海,香洲区,300,南,7,4,4,38,11000,
珠海,香洲区,172,南北,4,2,3,32,11000,
珠海,香洲区,172.97,南,4,2,2,17,11000,
珠海,斗门区,292,南,4,3,3,4,11000,
珠海,香洲区,150,南,1,1,1,21,10000,
珠海,香洲区,96,南,3,2,1,30,10000,
珠海,香洲区,91.87,北,1,0,0,33,10000,
珠海,香洲区,250,南北,5,2,3,31,10000,
珠海,香洲区,183,南北,4,2,2,28,10000,
珠海,香洲区,138,南,3,2,2,24,10000,
珠海,香洲区,198,东南,4,2,3,31,10000,
珠海,香洲区,194.35,东南,4,2,3,29,10000,
珠海,香洲区,157,南,4,2,2,31,10000,
珠海,香洲区,187.79,南,4,2,3,34,10000,
珠海,香洲区,164,东南,3,2,3,32,9900,
珠海,香洲区,198,东,1,1,0,19,9450,
珠海,香洲区,166.1,南,5,2,2,29,9100,
珠海,香洲区,261.22,南,5,2,1,24,9000,
珠海,香洲区,206,南,4,2,3,29,9000,
珠海,香洲区,90,西南,3,2,2,35,9000,
珠海,香洲区,142,南北,4,2,2,28,9000,
珠海,香洲区,249,东南,5,2,3,31,9000,
珠海,香洲区,141,东南,4,2,2,25,8900,
珠海,香洲区,100,北,2,1,0,32,8800,
珠海,香洲区,142.98,东南,3,2,2,31,8800,
珠海,香洲区,104.86,东南,3,2,1,15,8800,
珠海,香洲区,230,西南,5,2,4,11,8600,
珠海,香洲区,210,东南,4,2,2,29,8500,
珠海,香洲区,129,东南,4,2,1,35,8500,
珠海,香洲区,166,东南,1,3,0,25,8500,
珠海,香洲区,195,南,4,2,3,12,8500,
珠海,香洲区,119,东南,3,2,2,32,8500,
珠海,香洲区,178,南,4,2,2,32,8500,
珠海,香洲区,206,南北,5,2,3,10,8200,
珠海,香洲区,138,南北,4,2,2,39,8200,
珠海,香洲区,230,南北,6,2,3,6,8000,
珠海,香洲区,160,西北,1,0,0,22,8000,
珠海,香洲区,171,南,5,2,2,41,8000,
珠海,香洲区,229,南北,4,2,3,6,8000,
珠海,香洲区,110,南北,4,2,3,28,8000,
珠海,香洲区,105.55,南,3,2,2,12,8000,
珠海,香洲区,116,南,3,2,2,30,8000,
珠海,香洲区,190,北,5,2,3,30,8000,
珠海,斗门区,240,南,5,3,5,4,8000,
珠海,香洲区,195,南北,4,2,3,27,8000,
珠海,金湾区,180,南,5,2,3,10,8000,
珠海,香洲区,250,南西,5,2,3,12,8000,
珠海,香洲区,103,东南,3,2,2,25,8000,
珠海,香洲区,64.43,南,1,1,1,26,8000,
珠海,香洲区,178.35,东南,4,2,2,31,8000,
珠海,香洲区,162,东南,4,2,2,26,8000,
珠海,香洲区,98,南,3,1,2,22,7800,
珠海,香洲区,128,南,4,2,2,31,7600,
珠海,香洲区,84,南,4,2,3,28,7500,
珠海,香洲区,177,南,4,2,2,31,7500,
珠海,香洲区,110,东南,4,2,3,29,7500,
珠海,香洲区,164,东南,4,2,2,31,7500,
珠海,香洲区,130,南,4,2,2,35,7500,
珠海,香洲区,108,东南,4,2,2,29,7500,
珠海,香洲区,110,南,4,2,3,28,7500,
珠海,香洲区,139,南,3,2,2,19,7500,
珠海,香洲区,196,西,4,2,3,27,7500,
珠海,香洲区,97,南,3,2,1,26,7500,
珠海,香洲区,106.13,南,3,2,2,15,7500,
珠海,香洲区,174,东南,4,2,2,6,7000,
珠海,香洲区,189.5,南,3,2,2,3,7000,
珠海,香洲区,224,东南,4,2,3,32,7000,
珠海,香洲区,120,南,3,2,2,51,7000,
珠海,香洲区,137,南,3,2,2,27,7000,
珠海,香洲区,117,南,3,2,2,30,7000,
珠海,香洲区,178,南,4,2,2,32,7000,
珠海,香洲区,106,南,3,2,2,32,7000,
珠海,香洲区,151,东南,1,0,1,21,7000,
珠海,香洲区,70.25,东南,1,1,1,26,7000,
珠海,香洲区,63.55,东南,1,1,1,26,7000,
珠海,香洲区,215,南,5,2,4,11,7000,
珠海,香洲区,102.16,南,3,2,2,25,7000,
珠海,香洲区,99,南,3,2,2,21,7000,
珠海,香洲区,113,南,3,2,2,42,7000,
